id,bio
E000293,"A Representative from Connecticut; born in Oak Park, Cook County, Ill., August 25, 1959; graduated from Winona High School, Winona, Minn., 1977; A.B., Harvard University, Cambridge, Mass., 1981; J.D., Yale University, New Haven, Conn., 1985; law clerk; lawyer, private practice; professor; member of the Cheshire, Conn., town council, 2005-2008; member of the Connecticut state general assembly, 2008-2010; elected as a Democrat to the One Hundred Thirteenth Congress and to the two succeeding Congresses (January 3, 2013-January 3, 2019); was not a candidate for reelection to the One Hundred Sixteenth Congress."
K000394,"A Representative from New Jersey; born in Boston, Suffolk County, Mass., July 12, 1982; graduated from Cherry Hill High School East, Cherry Hill, N.J., 2000; attended Deep Springs College, Deep Springs, Calif., 2000-2002; B.A., University of Chicago, Chicago, Ill., 2004; Rhodes Scholar, Ph.D., Oxford University, Oxford, England, 2010; staff, United States Agency for International Development, 2005; staff, United States Department of State, 2009-2013; staff, United States Department of Defense, 2013; staff, National Security Council, 2013-2016; elected as a Democrat to the One Hundred Sixteenth and to the two succeeding Congresses (January 3, 2019-present)."
T000478,"A Representative from New York; born in New Hartford, Oneida County, N.Y., February 4, 1961; graduated from New Hartford High School, New Hartford, N.Y., 1979; B.A., Colgate University, Hamilton Township, N.Y., 1983; J.D., Cincinnati University, Cincinnati, Ohio, 1987; staff, consulate general of Yugoslavia; media owner; lawyer, private practice; member of the New York state assembly, 2011-2016; unsuccessful candidate for election to the One Hundred Fourteenth Congress in 2014; elected as a Republican to the One Hundred Fifteenth Congress (January 3, 2017-January 3, 2019); unsuccessful candidate for reelection to the One Hundred Sixteenth Congress in 2018; elected as a Republican to the One Hundred Seventeenth and to the succeeding Congress (January 3, 2021-present)."
M000523,"A Representative from Georgia; born in Atlanta, Fulton County, Ga., March 17, 1955; graduated St. Joseph High School; B.A., University of Southern California, Los Angeles, Calif., 1978; attended Fletcher School of Law and Diplomacy, Medford, Mass.; diplomatic fellow, Spellman College, Atlanta, Ga., 1984; faculty member, Clark Atlanta University and Agnes Scott College; member of the Georgia state house of representatives, 1988-1992; elected as a Democrat to the One Hundred Third and to the four succeeding Congresses (January 3, 1993-January 3, 2003); unsuccessful candidate for nomination to the One Hundred Eighth Congress in 2002; elected as a Democrat to the One Hundred Ninth Congress (January 3, 2005-January 3, 2007); unsuccessful candidate for nomination to the One Hundred Tenth Congress in 2006; unsuccessful Green Party candidate for election for President of the United States in 2008."
F000479,"a Senator from Pennsylvania; born in Reading, Penn., August 15, 1969; graduated Central York High School, York, Penn., 1987; B.A., business administration, Albright College, Reading, Penn., 1991; M.B.A., University of Connecticut, 1993; M.P.P., Kennedy School of Government, Harvard University, 1999; insurance underwriter; social worker; non-profit organization founder; mayor of Braddock, Penn., 2006-2019; lieutenant governor of Pennsylvania 2019-2023; elected as a Democrat to the United States Senate in 2022 for the term ending January 3, 2029."
F000454,"A Representative from Illinois; born in Madison, Wis., October 7, 1955; B.A. University of Wisconsin, Madison, Dane County, Wis., 1975; Ph.D., Harvard University, Cambridge, Mass., 1984; physicist; senior physicist, Fermi National Accelerator Laboratory; entrepreneur; fellow, American Physical Society; elected as a Democrat to the One Hundred Tenth Congress, by special election, to fill the vacancy caused by the resignation of United States Representative John Dennis Hastert, and reelected to the succeeding Congress (March 8, 2008-January 3, 2011); unsuccessful candidate for reelection to the One Hundred Twelfth Congress in 2010; elected as a Democrat to the One Hundred Thirteenth and to the five succeeding Congresses (January 3, 2013-present)."
G000583,"A Representative from New Jersey; born in North Caldwell, Essex County, N.J., March 8, 1975; graduated from West Essex Senior High School, North Caldwell, N.J., 1993; B.A., University of Pennsylvania, Philadelphia, Pa., 1997; J.D., Harvard Law School, Cambridge, Mass., 2004; special assistant and speechwriter for President William J. Clinton, 1998-2001; staff, Wesley Clark presidential campaign, 2004; staff, John Kerry presidential campaign, 2004; business executive; senior counselor to the chairman of the Federal Communications Commission, 2010-2012; elected as a Democrat to the One Hundred Fifteenth and to the three succeeding Congresses (January 3, 2017-present)."
G000600,"a Representative from Washington; born in Harris County, Tex., June 4, 1988; B.A., Reed College, Portland, Oreg., 2013; small business owner; elected as a Democrat to the One Hundred Eighteenth Congress (January 3, 2023-present)."
F000061,"A Senator from Wisconsin; born in Janesville, Rock County, Wis., March 2, 1953; graduated, Janesville Craig High School 1971; graduated, University of Wisconsin, Madison 1975; attended Magdalen College, Oxford, England, as a Rhodes Scholar and received a graduate degree in 1977; graduated, Harvard University Law School 1979; admitted to the Wisconsin bar in 1979 and practiced law in Madison, Wisc. 1979-1985; visiting professor, Beloit College 1985; member, Wisconsin State Senate 1983-1993; elected as a Democrat to the United States Senate in 1992; reelected in 1998 and again in 2004, and served from January 3, 1993, to January 3, 2011; unsuccessful candidate for reelection in 2010."
S001216,"A Representative from Washington; born in Los Angeles, Los Angeles County, Calif., August 23, 1968; graduated from Palisades High School, Pacific Palisades, Calif., 1986; B.A., University of California, Berkeley, Calif., 1991; M.D., University of California, Davis, Calif., 1997; pediatric residency, Lucile Packard Children's Hospital at Stanford University, Palo Alto, Calif., 2000; pediatrician; elected as a Democrat to the One Hundred Sixteenth and to the two succeeding Congresses (January 3, 2019-present)."
