id,bio,api_out,high_school,ent_year,grad_year
W000797,"a Representative from Florida; born in Forest Hills, Queens County, N.Y., September 27, 1966; graduated from Half Hollow Hills High School East, Dix Hills, N.Y., 1984; B.A., University of Florida, Gainesville, Fla., 1988; M.A., University of Florida, Gainesville, Fla., 1990; staff, United States Representative Peter Deutsch of Florida, 1989-1992; member of the Florida state house of representatives, 1992-2000; member of the Florida state senate, 2000-2004; elected as a Democrat to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present).","Time Period | Location
--- | ---
1966-1984 | Forest Hills, Queens County, N.Y.
1984-1990 | Gainesville, Fla.
1990-1992 | Staff for U.S. Representative Peter Deutsch
1992-2000 | Florida State House of Representatives
2000-2004 | Florida State Senate
2005-Present | U.S. Congress","Half Hollow Hills High School East, Dix Hills, N.Y.",1980.0,1984.0
P000591,"A Representative from Georgia; born in Lansing, Ingham County, Mich., October 8, 1954; graduated from Dearborn High School, Dearborn, Mich., 1972; A.B., University of Michigan, Ann Arbor, Mich., 1976; M.D., University of Michigan, Ann Arbor, Mich., 1979; physician; member of the Georgia state senate, 1997-2004; elected as a Republican to the One Hundred Ninth and to the six succeeding Congresses until his resignation on February 10, 2017 (January 3, 2005-February 10, 2017); chairman, Committee on Budget (One Hundred Fourteenth Congress); Secretary of Health and Human Services in the Cabinet of President Donald J. Trump, 2017.","Time Period | Location
--- | ---
1954-1972 | Lansing, Ingham County, Mich.
1972-1976 | Dearborn, Mich.
1976-1979 | Ann Arbor, Mich.
1979-1997 | Physician (Location not specified)
1997-2004 | Georgia
2005-2017 | Congress
2017 | Secretary of Health and Human Services (Location not specified)","Dearborn High School, Dearborn, Mich.",1968.0,1972.0
W000796,"A Representative from Georgia; born in Atlanta, Fulton County, Ga., April 2, 1950; graduated from Therrell High School, Atlanta, Ga., 1968; attended Georgia State University, Atlanta, Ga., 1969-1971; real estate developer; member of the Georgia state house of representatives, 1993-2004, and minority leader, 2000-2004; elected as a Republican to the One Hundred Ninth and to the five succeeding Congresses (January 3, 2005-January 3, 2017); was not a candidate for reelection to the One Hundredth Fifteenth Congress in 2016.","Time Period | Location
--- | ---
1950-1968 | Atlanta, Fulton County, Ga.
1969-1971 | Georgia State University, Atlanta, Ga.
1971-1993 | Atlanta, Ga. (Real Estate Developer)
1993-2004 | Georgia State House of Representatives
2005-2017 | Congress
2017-Present | Atlanta, Fulton County, Ga.","Therrell High School, Atlanta, Ga.",1964.0,1968.0
B001252,"A Representative from Georgia; born in Athens, Clarke County, Ga., October 31, 1955; graduated from Clarke Central High School, Athens, Ga., 1973; B.A., University of Georgia, Athens, Ga., 1976; J.D., Harvard University, Cambridge, Mass., 1979; lawyer, private practice; Athens-Clarke, Georgia, city-county commissioner, 1990-2004; elected as a Democrat to the One Hundred Ninth and to the four succeeding Congresses (January 3, 2005-January 3, 2015); unsuccessful candidate for reelection to the One Hundred Fourteenth Congress in 2014.","Time Period | Location
--- | ---
1955-1973 | Athens, Clarke County, Ga.
1973-1976 | University of Georgia, Athens, Ga.
1976-1979 | Cambridge, Mass.
1979-1990 | Private practice
1990-2004 | Athens-Clarke, Georgia
2005-2015 | Congress","Clarke Central High School, Athens, Ga.",1969.0,1973.0
B001253,"A Representative from Illinois; born in Chicago, Cook County, Ill., January 22, 1962; graduated, Maine East High School, Park Ridge, Ill., 1980; A.A., Oakton Community College, Des Plaines, Ill., 1982; B.A., Roosevelt University, Chicago, Ill., 2002; consultant; businesswoman; unsuccessful candidate for election to the United States House of Representatives in 2002; elected as a Democrat to the One Hundred Ninth Congress and to the two succeeding Congresses (January 3, 2005-January 3, 2011); unsuccessful candidate for re-election to the One Hundred Twelfth Congress in 2010.","Time Period | Location
--- | ---
1962-1980 | Chicago, Cook County, Ill.
1980-1982 | Des Plaines, Ill.
